family,description,spec_json,complexity,positive_development_folds,robust_score,train_trades,train_wins,train_losses,train_win_rate,train_net_pnl,train_average_pnl,train_ci_lower,train_ci_upper,validation_trades,validation_wins,validation_losses,validation_win_rate,validation_net_pnl,validation_average_pnl,validation_ci_lower,validation_ci_upper,full_trades,full_wins,full_losses,full_win_rate,full_net_pnl,full_average_pnl,full_ci_lower,full_ci_upper
three_bins_2_5,last 5 digits have bin pattern 21021 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[2,1,0,2,1]}",5,3,0.8417112005113799,192,127,65,0.6614583333333334,2.6500000000000092,0.013802083333333381,0.5919401674170741,0.7246424416655366,118,78,40,0.6610169491525424,1.600000000000005,0.013559322033898348,0.5717356110091416,0.740145093373445,414,266,148,0.642512077294686,1.40000000000002,0.0033816425120773426,0.5952302289727351,0.687173533289249
binary_le_3,"last 8 digits match HHLLHHLL, where L <= 3","{""kind"":""binary_suffix"",""pattern"":[0,0,1,1,0,0,1,1],""threshold"":3}",8,3,0.8275696513930048,188,124,64,0.6595744680851063,2.4000000000000092,0.01276595744680856,0.5892497852065646,0.7235084703281756,87,58,29,0.6666666666666666,1.4500000000000046,0.01666666666666672,0.5624236002445082,0.756813897440785,363,228,135,0.628099173553719,-1.6499999999999844,-0.004545454545454503,0.5772815657811424,0.6762339455216758
binary_le_4,"last 8 digits match LHHHHLLH, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[1,0,0,0,0,1,1,0],""threshold"":4}",8,4,0.8156465897564403,175,115,60,0.6571428571428571,2.000000000000007,0.011428571428571468,0.5841190855293741,0.7234158695234296,91,60,31,0.6593406593406593,1.150000000000004,0.012637362637362681,0.5572871428187045,0.7484863064786853,367,237,130,0.6457765667574932,1.9000000000000128,0.005177111716621288,0.5955649721680049,0.6929680315049628
three_bins_3_6,last 5 digits have bin pattern 10202 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[1,0,2,0,2]}",5,3,0.7961012519999549,215,142,73,0.6604651162790698,2.850000000000012,0.013255813953488429,0.5948443214890506,0.7204524251686957,140,92,48,0.6571428571428571,1.6000000000000085,0.01142857142857149,0.5752629486648756,0.7306293883618803,449,289,160,0.643652561247216,1.8000000000000185,0.004008908685968861,0.5983070731114958,0.6865608370307125
binary_le_4,"last 7 digits match HHHHLHL, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[0,0,0,0,1,0,1],""threshold"":4}",7,4,0.7928554470186797,396,256,140,0.6464646464646465,2.200000000000017,0.005555555555555598,0.5981773730873118,0.6919376148434905,206,135,71,0.6553398058252428,2.150000000000013,0.010436893203883557,0.5881302242317948,0.7168619368010108,786,500,286,0.6361323155216285,-0.0999999999999659,-0.0001272264631042823,0.6019112921567485,0.669029157486806
three_bins_2_5,last 5 digits have bin pattern 12121 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[1,2,1,2,1]}",5,4,0.7853194146278365,180,117,63,0.65,1.350000000000012,0.007500000000000067,0.5778472012021526,0.7158841494213636,113,77,36,0.6814159292035398,2.800000000000006,0.024778761061946958,0.5907584366292358,0.7601444056822328,378,242,136,0.6402116402116402,0.8000000000000185,0.002116402116402165,0.5906419734292884,0.6869601505710176
three_bins_3_6,last 5 digits have bin pattern 12010 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[1,2,0,1,0]}",5,3,0.7647059727833374,219,143,76,0.6529680365296804,2.0000000000000107,0.009132420091324249,0.587775377877362,0.7128868074923296,97,64,33,0.6597938144329897,1.2500000000000053,0.012886597938144385,0.5610358669448852,0.7463773771963067,420,268,152,0.638095238095238,0.4000000000000199,0.0009523809523809998,0.591077011650925,0.6826102305616726
binary_le_3,"last 7 digits match HHHHLLH, where L <= 3","{""kind"":""binary_suffix"",""pattern"":[0,0,0,0,1,1,0],""threshold"":3}",7,3,0.7544103076141433,623,412,211,0.6613162118780096,8.55000000000004,0.013723916532905361,0.6232659003425642,0.6973893421778501,303,197,106,0.6501650165016502,2.3000000000000185,0.007590759075907652,0.5948896471468365,0.7016804459225513,1235,792,443,0.6412955465587045,3.3500000000000796,0.002712550607287514,0.61414604124634,0.6675687798997234
binary_le_1,"last 7 digits match LLHHHLH, where L <= 1","{""kind"":""binary_suffix"",""pattern"":[1,1,0,0,0,1,0],""threshold"":1}",7,4,0.7218957620088902,157,102,55,0.6496815286624203,1.1500000000000057,0.007324840764331247,0.5722922575954212,0.7199209587270914,93,64,29,0.6881720430107527,2.6500000000000057,0.02849462365591404,0.5881441485195871,0.7732713074867492,332,219,113,0.6596385542168675,4.250000000000014,0.012801204819277151,0.6071034612584848,0.7085216565343527
binary_le_4,"last 8 digits match LHHHHLHL, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[1,0,0,0,0,1,0,1],""threshold"":4}",8,4,0.7183566001729845,188,122,66,0.648936170212766,1.3000000000000114,0.006914893617021337,0.5783465126208184,0.7135611925449391,103,72,31,0.6990291262135923,3.550000000000006,0.034466019417475784,0.6046054631486113,0.7791407010516356,380,248,132,0.6526315789473685,3.40000000000002,0.008947368421052685,0.6034472868519453,0.6987608184329707
parity,last digits have parity OEEOOOEE,"{""kind"":""parity_suffix"",""pattern"":[1,0,0,1,1,1,0,0]}",8,3,0.7061472225410238,190,124,66,0.6526315789473685,1.70000000000001,0.008947368421052685,0.5825109369173925,0.7167026593527984,94,63,31,0.6702127659574468,1.7500000000000053,0.018617021276595803,0.570134654466759,0.7569250642425024,377,238,139,0.6312997347480106,-1.049999999999983,-0.002785145888594119,0.5815031511248696,0.6784475388723838
three_bins_3_6,last 5 digits have bin pattern 10010 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[1,0,0,1,0]}",5,4,0.7031882897728158,252,173,79,0.6865079365079365,6.95000000000001,0.02757936507936512,0.6267927435070484,0.7406222971720298,145,94,51,0.6482758620689655,0.95000000000001,0.006551724137931103,0.5676409292502562,0.721257072292453,536,350,186,0.6529850746268657,4.900000000000034,0.009141791044776183,0.6117265970215736,0.6920662986894465
three_bins_3_6,last 5 digits have bin pattern 12012 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[1,2,0,1,2]}",5,3,0.6909347260438821,158,103,55,0.6518987341772152,1.3500000000000085,0.008544303797468409,0.5748132155819379,0.7217733349210438,84,57,27,0.6785714285714286,1.9500000000000046,0.02321428571428577,0.5727856143388975,0.7687387683701526,321,209,112,0.6510903426791277,2.6000000000000156,0.008099688473520298,0.5974418269272214,0.7011653778062791
binary_le_4,"last 8 digits match HLHLHHHL, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[0,1,0,1,0,0,0,1],""threshold"":4}",8,4,0.6883793359329619,207,134,73,0.6473429951690821,1.2500000000000107,0.00603864734299522,0.580109461583598,0.7092074514238964,107,71,36,0.6635514018691588,1.600000000000005,0.014953271028037429,0.5697390194208205,0.7460273045917383,393,263,130,0.6692111959287532,7.100000000000016,0.01806615776081429,0.6212532458762902,0.7138931886601622
binary_le_3,"last 7 digits match LLLHHLL, where L <= 3","{""kind"":""binary_suffix"",""pattern"":[1,1,1,0,0,1,1],""threshold"":3}",7,3,0.6723919355648439,188,124,64,0.6595744680851063,2.4000000000000092,0.01276595744680856,0.5892497852065646,0.7235084703281756,82,54,28,0.6585365853658537,1.0000000000000053,0.012195121951219577,0.5508773979511824,0.7520065506348835,367,249,118,0.6784741144414169,8.500000000000021,0.02316076294277935,0.6290527572468944,0.7241979294929072
