family,description,spec_json,complexity,positive_development_folds,robust_score,train_trades,train_wins,train_losses,train_win_rate,train_net_pnl,train_average_pnl,train_ci_lower,train_ci_upper,validation_trades,validation_wins,validation_losses,validation_win_rate,validation_net_pnl,validation_average_pnl,validation_ci_lower,validation_ci_upper,full_trades,full_wins,full_losses,full_win_rate,full_net_pnl,full_average_pnl,full_ci_lower,full_ci_upper
binary_le_4,"last 8 digits match LLHHLHHL, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[1,1,0,0,1,0,0,1],""threshold"":4}",8,3,0.30648371880114667,202,129,73,0.6386138613861386,0.25000000000001066,0.0012376237623762903,0.5703484469850916,0.7017055907235165,102,68,34,0.6666666666666666,1.7000000000000064,0.01666666666666673,0.5706063272058552,0.750628852078657,397,263,134,0.6624685138539043,5.700000000000017,0.014357682619647398,0.6145937907193694,0.7072292072797092
three_bins_3_6,last 5 digits have bin pattern 02020 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[0,2,0,2,0]}",5,4,0.5398853960992931,231,155,76,0.670995670995671,4.400000000000013,0.0190476190476191,0.608040866415517,0.7283562944466031,159,102,57,0.6415094339622641,0.4500000000000064,0.002830188679245323,0.5644399554980296,0.711902447265322,501,329,172,0.656686626746507,5.60000000000003,0.011177644710578902,0.6140586409358,0.696930080883424
three_bins_2_5,last 5 digits have bin pattern 11012 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[1,1,0,1,2]}",5,4,0.6375935218518345,169,109,60,0.6449704142011834,0.8000000000000078,0.004733727810650934,0.5703367926104272,0.7131600045951125,79,58,21,0.7341772151898734,4.2500000000000036,0.053797468354430424,0.6275696449007995,0.8190666230587558,318,212,106,0.6666666666666666,5.3000000000000185,0.016666666666666725,0.6131373349374954,0.7162173740189265
binary_le_0,"last 8 digits match HLHHHHLH, where L <= 0","{""kind"":""binary_suffix"",""pattern"":[0,1,0,0,0,0,1,0],""threshold"":0}",8,2,-1.2564944032233671,270,184,86,0.6814814814814815,6.7000000000000135,0.024814814814814866,0.6236955375913058,0.7341757665641706,133,77,56,0.5789473684210527,-4.199999999999992,-0.03157894736842099,0.4939783156180539,0.6594839477996192,535,350,185,0.6542056074766355,5.250000000000028,0.009813084112149586,0.6129321403254159,0.6932803778448048
binary_le_3,"last 8 digits match HHHHHLLH, where L <= 3","{""kind"":""binary_suffix"",""pattern"":[0,0,0,0,0,1,1,0],""threshold"":3}",8,5,0.5080165907340284,353,242,111,0.6855524079320113,9.550000000000018,0.027053824362606286,0.6353403748376978,0.7317694347481467,182,116,66,0.6373626373626373,0.10000000000000853,0.0005494505494505963,0.5653445528089828,0.7037019792043159,716,465,251,0.6494413407821229,5.150000000000034,0.007192737430167646,0.6137785247242779,0.6835091590812549
three_bins_3_6,last 5 digits have bin pattern 10010 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[1,0,0,1,0]}",5,4,0.7031882897728158,252,173,79,0.6865079365079365,6.95000000000001,0.02757936507936512,0.6267927435070484,0.7406222971720298,145,94,51,0.6482758620689655,0.95000000000001,0.006551724137931103,0.5676409292502562,0.721257072292453,536,350,186,0.6529850746268657,4.900000000000034,0.009141791044776183,0.6117265970215736,0.6920662986894465
three_bins_4_7,last 4 digits have bin pattern 1221 for bins 0-4/5-7/8-9,"{""boundaries"":[4,7],""kind"":""categorical_suffix"",""pattern"":[1,2,2,1]}",4,3,0.3551317846420015,188,120,68,0.6382978723404256,0.20000000000000995,0.0010638297872340955,0.5674792235398644,0.7035779312569107,88,57,31,0.6477272727272727,0.5500000000000043,0.006250000000000048,0.5436598679108756,0.7394366805744971,379,250,129,0.6596306068601583,4.850000000000016,0.012796833773087112,0.6105378511625956,0.7055198725038241
binary_le_4,"last 8 digits match LLLLHHLH, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[1,1,1,1,0,0,1,0],""threshold"":4}",8,3,-0.0712658781274374,195,122,73,0.6256410256410256,-1.149999999999988,-0.005897435897435835,0.5559030707995164,0.6905244111281127,115,81,34,0.7043478260869566,4.300000000000008,0.03739130434782616,0.6154327036904665,0.780052175630249,409,269,140,0.6577017114914425,4.8000000000000185,0.011735941320293444,0.6104415952289757,0.7020270225510701
binary_le_3,"last 7 digits match LLHLLHL, where L <= 3","{""kind"":""binary_suffix"",""pattern"":[1,1,0,1,1,0,1],""threshold"":3}",7,3,-0.20170707155281253,144,89,55,0.6180555555555556,-1.4499999999999957,-0.010069444444444416,0.5366095891532081,0.6933664965213526,86,62,24,0.7209302325581395,4.000000000000005,0.046511627906976806,0.6182540858816528,0.8047132222944144,307,204,103,0.6644951140065146,4.750000000000014,0.015472312703583109,0.6099332081103911,0.7149912739171521
binary_le_4,"last 7 digits match HHHHLLH, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[0,0,0,0,1,1,0],""threshold"":4}",7,4,0.8504573110502023,364,236,128,0.6483516483516484,2.40000000000002,0.006593406593406648,0.5979825582687763,0.6956221929364028,186,125,61,0.6720430107526881,3.6500000000000092,0.019623655913978546,0.6016890093194713,0.7354344009069966,755,489,266,0.6476821192052981,4.700000000000031,0.0062251655629139485,0.6129386629340713,0.6809303625492774
three_bins_4_7,last 6 digits have bin pattern 002010 for bins 0-4/5-7/8-9,"{""boundaries"":[4,7],""kind"":""categorical_suffix"",""pattern"":[0,0,2,0,1,0]}",6,2,-0.5798004491997574,161,98,63,0.6086956521739131,-2.449999999999992,-0.015217391304347778,0.5316168147939059,0.6807084112165674,98,69,29,0.7040816326530612,3.6500000000000057,0.03724489795918373,0.6073991576853616,0.785368193285381,356,235,121,0.6601123595505618,4.65000000000002,0.013061797752809044,0.6094326737637216,0.7073735118648367
three_bins_2_5,last 5 digits have bin pattern 11221 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[1,1,2,2,1]}",5,2,-0.5895842744301841,211,129,82,0.6113744075829384,-2.8999999999999915,-0.013744075829383846,0.5441734680188454,0.6745925013522062,99,66,33,0.6666666666666666,1.6500000000000057,0.016666666666666725,0.5691204267519376,0.7517618358921199,423,277,146,0.6548463356973995,4.300000000000026,0.0101654846335698,0.6083297611905794,0.6985757590977624
three_bins_2_5,last 5 digits have bin pattern 12002 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[1,2,0,0,2]}",5,4,0.6032062417930266,205,141,64,0.6878048780487804,5.800000000000011,0.028292682926829325,0.6214083740284543,0.7472923640089589,110,71,39,0.6454545454545455,0.550000000000006,0.005000000000000055,0.5525341042264349,0.7285585691413721,423,277,146,0.6548463356973995,4.300000000000026,0.0101654846335698,0.6083297611905794,0.6985757590977624
